49 ==> 92 #SUP: 64017 #CONF: 0.8756018163912901
49 ==> 100 #SUP: 67198 #CONF: 0.9191104059525113
49 ==> 102 #SUP: 73112 #CONF: 1.0
50 ==> 92 #SUP: 69067 #CONF: 0.873768106774622
50 ==> 100 #SUP: 71076 #CONF: 0.8991840091087355
50 ==> 102 #SUP: 79044 #CONF: 0.99998734897843
51 ==> 92 #SUP: 65364 #CONF: 0.8583585029546947
51 ==> 100 #SUP: 65947 #CONF: 0.8660144451739987
51 ==> 102 #SUP: 76150 #CONF: 1.0
52 ==> 92 #SUP: 63997 #CONF: 0.8396793324236381
52 ==> 102 #SUP: 76209 #CONF: 0.9999081557678178
60 ==> 92 #SUP: 76827 #CONF: 0.8719936439475625
60 ==> 100 #SUP: 79559 #CONF: 0.903002099767323
60 ==> 102 #SUP: 88105 #CONF: 1.0
62 ==> 92 #SUP: 70335 #CONF: 0.8521529477331653
62 ==> 100 #SUP: 69662 #CONF: 0.8439991276745257
62 ==> 102 #SUP: 82537 #CONF: 0.9999878843684121
79 ==> 92 #SUP: 67060 #CONF: 0.8876358389919126
79 ==> 100 #SUP: 69313 #CONF: 0.9174575441104449
79 ==> 102 #SUP: 75548 #CONF: 0.9999867635574263
80 ==> 100 #SUP: 62634 #CONF: 0.9151799412615614
80 ==> 102 #SUP: 68438 #CONF: 0.999985388448107
81 ==> 92 #SUP: 71290 #CONF: 0.8675387891694555
81 ==> 100 #SUP: 71414 #CONF: 0.8690477639184667
81 ==> 102 #SUP: 82175 #CONF: 1.0
82 ==> 92 #SUP: 65236 #CONF: 0.8325165900969883
82 ==> 100 #SUP: 61553 #CONF: 0.7855155691679429
82 ==> 102 #SUP: 78354 #CONF: 0.9999234303215927
92 ==> 86 #SUP: 173039 #CONF: 0.6593343367181695
86 ==> 92 #SUP: 173039 #CONF: 0.8605223635658376
97 ==> 86 #SUP: 129208 #CONF: 0.722866222082979
86 ==> 97 #SUP: 129208 #CONF: 0.642550948350457
98 ==> 86 #SUP: 71878 #CONF: 0.5714626447976212
100 ==> 86 #SUP: 176627 #CONF: 0.666733354975577
86 ==> 100 #SUP: 176627 #CONF: 0.8783654754682076
102 ==> 86 #SUP: 201082 #CONF: 0.6603352872600693
86 ==> 102 #SUP: 201082 #CONF: 0.9999801080134868
92020 ==> 86 #SUP: 73138 #CONF: 0.7333674257237113
87 ==> 102 #SUP: 63634 #CONF: 0.999952857614281
97 ==> 92 #SUP: 149244 #CONF: 0.8349594951438929
92 ==> 97 #SUP: 149244 #CONF: 0.5686677208557983
98 ==> 92 #SUP: 113201 #CONF: 0.8999992049547222
100 ==> 92 #SUP: 230047 #CONF: 0.8683837018806103
92 ==> 100 #SUP: 230047 #CONF: 0.8765531825715864
102 ==> 92 #SUP: 262440 #CONF: 0.8618294665287424
92 ==> 102 #SUP: 262440 #CONF: 0.9999809483891863
92020 ==> 92 #SUP: 86138 #CONF: 0.8637206830510684
92021 ==> 92 #SUP: 91930 #CONF: 0.8430851063829787
100 ==> 97 #SUP: 148340 #CONF: 0.5599553062503303
97 ==> 100 #SUP: 148340 #CONF: 0.8299019827238956
102 ==> 97 #SUP: 178742 #CONF: 0.5869727271234586
97 ==> 102 #SUP: 178742 #CONF: 0.9999888108132301
92020 ==> 97 #SUP: 63886 #CONF: 0.6405960152011952
98 ==> 100 #SUP: 116574 #CONF: 0.92681608217588
98 ==> 102 #SUP: 125773 #CONF: 0.9999522972833302
102 ==> 100 #SUP: 264910 #CONF: 0.8699407254158251
100 ==> 102 #SUP: 264910 #CONF: 0.9999849007602467
92020 ==> 100 #SUP: 88354 #CONF: 0.8859408998385625
92021 ==> 100 #SUP: 91635 #CONF: 0.8403796771826852
2020 ==> 102 #SUP: 62726 #CONF: 1.0
92020 ==> 102 #SUP: 99725 #CONF: 0.9999598913054377
92021 ==> 102 #SUP: 109037 #CONF: 0.999972487160675
49 102 ==> 92 #SUP: 64017 #CONF: 0.8756018163912901
49 92 ==> 102 #SUP: 64017 #CONF: 1.0
49 ==> 92 102 #SUP: 64017 #CONF: 0.8756018163912901
49 102 ==> 100 #SUP: 67198 #CONF: 0.9191104059525113
49 100 ==> 102 #SUP: 67198 #CONF: 1.0
49 ==> 100 102 #SUP: 67198 #CONF: 0.9191104059525113
50 100 ==> 92 #SUP: 62378 #CONF: 0.8776239518262142
50 92 ==> 100 #SUP: 62378 #CONF: 0.9031520118146148
50 ==> 92 100 #SUP: 62378 #CONF: 0.789145423492947
50 102 ==> 92 #SUP: 69067 #CONF: 0.873779160973635
50 92 ==> 102 #SUP: 69067 #CONF: 1.0
50 ==> 92 102 #SUP: 69067 #CONF: 0.873768106774622
50 102 ==> 100 #SUP: 71075 #CONF: 0.8991827336673245
50 100 ==> 102 #SUP: 71075 #CONF: 0.9999859305532106
50 ==> 100 102 #SUP: 71075 #CONF: 0.8991713580871655
51 102 ==> 92 #SUP: 65364 #CONF: 0.8583585029546947
51 92 ==> 102 #SUP: 65364 #CONF: 1.0
51 ==> 92 102 #SUP: 65364 #CONF: 0.8583585029546947
51 102 ==> 100 #SUP: 65947 #CONF: 0.8660144451739987
51 100 ==> 102 #SUP: 65947 #CONF: 1.0
51 ==> 100 102 #SUP: 65947 #CONF: 0.8660144451739987
52 102 ==> 92 #SUP: 63992 #CONF: 0.8396908501620544
52 92 ==> 102 #SUP: 63992 #CONF: 0.9999218713377189
52 ==> 92 102 #SUP: 63992 #CONF: 0.8396137294006508
60 100 ==> 92 #SUP: 69765 #CONF: 0.8768963913573574
60 92 ==> 100 #SUP: 69765 #CONF: 0.9080791909094459
60 ==> 92 100 #SUP: 69765 #CONF: 0.7918392826740821
60 102 ==> 92 #SUP: 76827 #CONF: 0.8719936439475625
60 92 ==> 102 #SUP: 76827 #CONF: 1.0
60 ==> 92 102 #SUP: 76827 #CONF: 0.8719936439475625
60 102 ==> 100 #SUP: 79559 #CONF: 0.903002099767323
60 100 ==> 102 #SUP: 79559 #CONF: 1.0
60 ==> 100 102 #SUP: 79559 #CONF: 0.903002099767323
62 102 ==> 92 #SUP: 70334 #CONF: 0.8521511564510462
62 92 ==> 102 #SUP: 70334 #CONF: 0.999985782327433
62 ==> 92 102 #SUP: 70334 #CONF: 0.8521408321015774
62 102 ==> 100 #SUP: 69662 #CONF: 0.844009353380908
62 100 ==> 102 #SUP: 69662 #CONF: 1.0
62 ==> 100 102 #SUP: 69662 #CONF: 0.8439991276745257
79 100 ==> 92 #SUP: 61782 #CONF: 0.8913479433872433
79 92 ==> 100 #SUP: 61782 #CONF: 0.9212943632567849
79 ==> 92 100 #SUP: 61782 #CONF: 0.8177738950879562
79 102 ==> 92 #SUP: 67059 #CONF: 0.8876343516704611
79 92 ==> 102 #SUP: 67059 #CONF: 0.9999850879809126
79 ==> 92 102 #SUP: 67059 #CONF: 0.8876226025493389
79 102 ==> 100 #SUP: 69312 #CONF: 0.9174564515275057
79 100 ==> 102 #SUP: 69312 #CONF: 0.9999855726919914
79 ==> 100 102 #SUP: 69312 #CONF: 0.9174443076678712
80 102 ==> 100 #SUP: 62634 #CONF: 0.915193313656156
80 100 ==> 102 #SUP: 62634 #CONF: 1.0
80 ==> 100 102 #SUP: 62634 #CONF: 0.9151799412615614
81 100 ==> 92 #SUP: 62101 #CONF: 0.8695913966449156
81 92 ==> 100 #SUP: 62101 #CONF: 0.8711039416467948
81 ==> 92 100 #SUP: 62101 #CONF: 0.7557164587770003
81 102 ==> 92 #SUP: 71290 #CONF: 0.8675387891694555
81 92 ==> 102 #SUP: 71290 #CONF: 1.0
81 ==> 92 102 #SUP: 71290 #CONF: 0.8675387891694555
81 102 ==> 100 #SUP: 71414 #CONF: 0.8690477639184667
81 100 ==> 102 #SUP: 71414 #CONF: 1.0
81 ==> 100 102 #SUP: 71414 #CONF: 0.8690477639184667
82 102 ==> 92 #SUP: 65233 #CONF: 0.8325420527350231
82 92 ==> 102 #SUP: 65233 #CONF: 0.9999540131215893
82 ==> 92 102 #SUP: 65233 #CONF: 0.8324783052577845
82 102 ==> 100 #SUP: 61550 #CONF: 0.7855374326773362
82 100 ==> 102 #SUP: 61550 #CONF: 0.9999512615144672
82 ==> 100 102 #SUP: 61550 #CONF: 0.7854772843287392
92 97 ==> 86 #SUP: 107785 #CONF: 0.7222065878695291
86 97 ==> 92 #SUP: 107785 #CONF: 0.8341975729057024
86 92 ==> 97 #SUP: 107785 #CONF: 0.6228942608313732
97 ==> 86 92 #SUP: 107785 #CONF: 0.6030132479971355
86 ==> 92 97 #SUP: 107785 #CONF: 0.5360144415822086
92 98 ==> 86 #SUP: 65254 #CONF: 0.5764436709923058
86 98 ==> 92 #SUP: 65254 #CONF: 0.9078438465177106
98 ==> 86 92 #SUP: 65254 #CONF: 0.5187988455942566
92 100 ==> 86 #SUP: 153164 #CONF: 0.6657943811482001
86 100 ==> 92 #SUP: 153164 #CONF: 0.8671607398642337
86 92 ==> 100 #SUP: 153164 #CONF: 0.8851414998930877
100 ==> 86 92 #SUP: 153164 #CONF: 0.578164989392784
92 ==> 86 100 #SUP: 153164 #CONF: 0.5836041837337347
86 ==> 92 100 #SUP: 153164 #CONF: 0.7616840555782103
92 102 ==> 86 #SUP: 173036 #CONF: 0.6593354671543972
86 102 ==> 92 #SUP: 173036 #CONF: 0.8605245621189366
